Content,label,lang
"#BITCOIN WILL HIT $100,000 IN NEXT 3 MONTHS OR I AM DELETING MY "" X "" ACCOUNT",1,en
Trading is now live for @ethena_labs $ENA on #Binance➡️ https://binance.com/en/trade/ENA_USDT?type=spot&ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…,1,en
Vechain’s importance isn’t talked about enough. $VET,1,en
"Inhalers cost less than $5 to make.

But drug companies charge Americans up to $600 to increase their profits.

My Administration has been cracking down on Big Pharma – and now, three of the four largest inhaler manufacturers are capping out-of-pocket costs at $35.",1,en
Lulu: I don't speak before 12 noon. I'm not lying,1,en
GUYS. HE ANSWERED MY QUESTION IM GONNA CRYYY I LOVE THIS MAN SO MUCH,2,en
The category is : most controversial music videos,1,en
Polls are opening up in states across the country. Head to http://IWillVote.com to confirm your polling place.,1,en
The final deadline for 7 Spot #Ethereum ETFs is in 50 days!,1,en
CAN YOU GUYS GIVE ME A RUNDOWN ON EVERYTHING HE SAID ABOUT THE UNRELEASED TRACKS,1,en
Google looks to AI paywall option - report,1,en
Solar Eclipse 2024: How to Watch & Stream Live from Anywhere,1,en
"GagCity was everything!!! Nicki, Monica, and 50 cent did what needed to be done!!! 💕 #gagcitydc",2,en
"LIVE NOW: How will future @NASAArtemis astronauts drive across the surface of the Moon?

We're announcing the companies that will advance the capabilities of the lunar terrain vehicle, a rover for exploration during the #Artemis V missions and beyond.",1,en
"Time to supply you with some crypto knowledge.

Literally.

Maximum, total, and circulating supply explained 👇",1,en
"For anyone who received a checkmark today, you can earn money for the stuff you're already posting. No extra effort required.

Apply to be monetized in Settings > Monetization",2,en
"Explore new taker fee promotions on #Binance! 

You can now trade $USDC spot and margin trading pairs to enjoy discounted taker fees from 10 April, 2024.  

Learn more ⤵️",2,en
Tune in as I deliver remarks on lowering health care costs for Americans.,1,en
Oh this is EXTREMELY  GAGGY babe,2,en
Like what ?,1,en
Truck crash spills live salmon into wrong Oregon river,0,en
"Celebrate the upcoming #Bitcoin halving with the #Binance Futures Ultimate Challenge.

Join the daily price prediction and weekly task challenges for a chance to win #BTC rewards and a Tesla Model Y!

Join now ➡️ https://binance.com/en/events/bitcoin-halving?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",2,en
🚨 BREAKING 🚨GRAYSCALE HAS TRANSFERRED 1983 BTC WORTH $131.4 MILLION TO COINBASE,1,en
"#Bitcoin always pumps after the halving.

- 1st Halving: +8,000%
- 2nd Halving: +3,000%
- 3rd Halving: +800%

In 15 days, the 4th halving is here.

Are you mentally prepared?",1,en
"Today, I had a candid conversation with President Xi Jinping of the People’s Republic of China on a range of issues, including areas of cooperation and areas of difference.

I emphasized the importance of maintaining peace and stability across the Taiwan Strait and in the South…",1,en
Same reason why you felt comfortable calling me a Mexican when I’m Dominican and I asked you why you feel comfortable calling me a Mexican when ice and jharell Jerome Zoe Saldana are Dominicans and you don’t do that to them. You do it to me because you know that’s what people use…,1,en
#GagCityBaltimore IS TAKING IT!!!!!!!!!!!!!!!!!!!!!!!! DMV I MISSED YOUUUUUUUUUUUUUUUUUUUU!!!!!!!!!!YALL DONT KNOW MAN. 😩🛸🏙️ thank you. Idk what to say. The best night I’ve ever had on earth AND #GagCity. May God bless each & every one of you. I’ll never forget you. #HeavyOnIt,2,en
"#Binance respectfully requests that Tigran Gambaryan, who has no decision-making power in the company, is not held responsible while current discussions are ongoing between Binance and Nigerian government officials.#BringTigranHomeRead more 👇",1,en
"After 204 days, 3,264 orbits, and dozens of @ISS_Research experiments in space, @lunarloral is heading home.

Undocking and return coverage (on NASA+ and other platforms) begins at 8pm ET, Friday, April 5 (0000 UTC April 6): https://go.nasa.gov/3xwI9di",1,en
"Don't buy #Bitcoin for your first name.

Buy #Bitcoin for your last name.",1,en
"Billie Eilish, Pearl Jam, Nicki Minaj Among 200 Artists Calling for Responsible AI Music Practices",1,en
School shooting brings up tough questions for Finland,0,en
"Instead of seniors with diabetes paying as much as $400 a month for their insulin they so badly need, they now only have to pay $35 a month. Period.
 
I want to extend those savings to everyone who needs lifesaving insulin, whether you’re a senior or not.",0,en
"Trade responsibly.

Employing risk management strategies is an important step to reducing your portfolio's risk.

So we've listed out 5 strategies, which you can find right here 👇",2,en
"#Binance has expanded Portfolio Margin to non-VIP users! 

Optimise your portfolio with enhanced capital efficiency, risk management, and trading strategies made more accessible.

Learn more 👇",2,en
"💥BREAKING: The Spot #Bitcoin ETF had positive inflow of: +$40,300,000 yesterday!",2,en
"#Binance Charity partners with the Children of Heroes Foundation!

This collaboration will launch “I Am da Vinci”, a 12-day therapeutic camp, to support children who have lost their parents in the war.

Read more ⤵️",1,en
"Florida’s bans – and laws like them in states across America – are putting the health and lives of millions of women at risk.

They take away women’s freedom to make their own health care decisions and threaten physicians for providing the care they were trained to provide.",0,en
Don't Panic 🫡,1,en
"We've officially hit 1M posts on #Binance Square!

Thank you for sharing content on your feeds, and spreading crypto knowledge worldwide 🤝Keep building ➡️ http://binance.com/feed?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",2,en
"That’s not what you said. You said nobody called me ghetto and now you moving the goal post… You know why I’m at where I’m at right now? Because I took all those no’s and recognized what I had to CHANGE. I had to change the way I talk, the way I act and the way I respond and how…",1,en
"Honestly a great product!

Feel more energized and stronger ever since I’ve taken it!",2,en
"Lizzo clarifies she is not quitting music industry, just 'negative energy'",1,en
Olivia Rodrigo Kisses Chappell Roan During Guts World Tour’s Boston Stop,1,en
"Yesterday, Florida’s Supreme Court upheld a state abortion ban, likely triggering the Governor's more extreme law eliminating access before many even know they're pregnant.

Outrageous.@VP and I remain committed to protecting reproductive freedom in Florida and across the U.S.",0,en
Ukraine gives award to foreign vigilantes for hacks on Russia,0,en
I got 45 mins to give away my own personal tkts to #SOLDOUTMINAJ shows guys. But I’m doing it on station head so nanabooboo Barbz don’t start. I miss you 🤭,1,en
"""The Flies,"" our newest class of @NASA_Astronauts, officially graduated basic training last month—and what's a graduation without a few superlatives?

If you want to join the next astronaut class, our applications are still open! Get yours in by April 16: https://go.nasa.gov/astro2024",2,en
"JUST IN: Coinbase CEO says its #Bitcoin Lightning Network integration ""should be launching soon"" ⚡️ 👀",2,en
Don’t pinch me please,0,en
Rashee Rice: Super Bowl champion admits role in Texas hit-and-run,1,en
"This week, America lost a hero.

When Lou Conter passed away at the age of 102, America said farewell to the last known survivor of the U.S.S. Arizona, which was stationed on Battleship Row at Pearl Harbor on December 7, 1941.

Today, our hearts are with those who knew him and…",1,en
I think there might be some confusion on what was said. I asked why he feels so comfortable calling me Mexican? I have no Mexican parents. My mom is Trini.. she came out of a whole black woman. My father is Dominican…I’m Dominican just like you. I also used other Dominicans as…,1,en
"All I wanted…

to give my fans an album & tour that touched them in every way & reminded them of why & how we fell in love in the
 1st place. To give them the tour that they never knew they NEEDED- prove to them how much I value THEM & how much I value the ARTS 🩷",2,en
Beyoncé & Jennifer Hudson Host Mini ‘Dreamgirls’ Reunion at 2024 iHeartRadio Music Awards,1,en
Why this amateur scientist measured snowfall for 50 years,0,en
"Happy Tipping Tuesday Shibes!

Tip in Dogecoin 🐕🐶💸",2,en
Doge is the og tipping currency of the Internet,1,en
"April is a BIG month for sky gazing 🤩Big planets: Jupiter will be visible all month; Mars and Saturn will rise together on April 10 & 11
Big eclipse: On April 8, catch the last total solar eclipse in the U.S. for 20 years
Big Moon: Catch a full Moon on April 23",2,en
Irish basketball teams ordered to replay last 0.3 seconds of quarter-final tie,1,en
Will Beyoncé Finally Win Album of the Year Grammy With ‘Cowboy Carter’?,1,en
"Worst migraines ever for like 3 weeks now. 💀Why won’t these things go away? 

I have tried everything. What is your secret?",0,en
Tennessee passes 'chemtrail' bill banning airborne chemicals,1,en
Here’s my advice to you Raymonte… IT TAKES TIME!!! Right now I get brand deals for over $5 million for a campaign… I got social media famous in 2014…my first brand deal from Fashion Nova was in 2016 and $200 a post. You could reach any height no matter how ghetto or where you…,2,en
something is cooking at @MyDogeOfficial 👀,1,en
Mysterious streak of light seen across southern California sky,1,en
Here Are the Performers and Presenters for 2024 CMT Music Awards,1,en
"Botswana offers to send 20,000 elephants to Germany",1,en
Two letters: DC >>>> #GagCityDC,1,en
French couple who kept 159 cats banned from keeping pets,0,en
"🚨 BREAKING 🚨1,000,000,000 USDT JUST GOT 
MINTED AT TETHER TREASURY

YESTERDAY ALSO $1 BILLION USDT 
WAS MINTED. 

ARE WHALES PREPARING FOR A 
HUGE #BITCOIN PUMP ?",1,en
Rebel Wilson book release put back in UK and Australia,1,en
World Central Kitchen founder José Andrés says Israel targeted staff in Gaza 'car by car',0,en
Who were the seven aid workers killed in Gaza?,0,en
"Listen, lots of my friends have made tons and tons of money on crypto while I cling to my little bag of silver. I realize that crypto has been more successful in the last several years than what I think would be. And I obviously admit that and people shouldn’t take investment…",2,en
"Super valid. 

Worth a podcast someday.",2,en
Taylor Swift Is Officially a Billionaire,2,en
Will Truth Social post a financial bailout for Trump?,1,en
Three British aid workers killed in Israeli strike in Gaza named,0,en
Tesla 'disaster' with fewest deliveries since 2022,0,en
Best doge meme wins Đ69.420! 🏆Like & Repost this post to participate. 🐕Upload your meme in the comments.💬,2,en
Trump sues Truth Social co-founders over alleged mismanagement,0,en
Ukraine lowers combat call-up age to boost numbers,1,en
2024 MLB Season: How to Watch Baseball Games Online for Free Without Cable,1,en
"Congratulations to BUID: 79*****52 on being our first winner of the Tesla Car Lucky Draw in second installment of #FuturesChallenge 🎉 

Don't worry, there are 3 weeks left to get your hands on your very own Tesla! 

Participate now ➡️ https://binance.com/en/futures-activity/futures-challenge…",2,en
Tuesday already? Watch @LizaKoshy and me play #PASSWORD tonight at 10/9C on @NBC after #WeakestLink!,1,en
I went to #GagCityDC alone and ended up w the sweetest girl next to me who was also alone & so fun  AND it was her bday 😭😭😭😭🩷🩷🩷 it was just a magical and fun night overall. I’m so overwhelmed and grateful,2,en
R.I.P. Michael McMartin.,1,en
"Time to look at this month's market insights!

Our research team analyzed the state of the crypto market and provided insights on Bitcoin ETF inflows, Ethereum's Dencun upgrade, Solana's DEX volumes, and more.

Check it out ⬇️",1,en
"#X is bringing the tip jar to the web app!

It was an iOS/Android feature for years and now it's finally finding its way to the web version!

Here, you can see a full list of the supported services!",2,en
Cool Cool,2,en
Israeli government says it will block Al Jazeera from broadcasting,0,en
"New Senegal president Bassirou Diomaye Faye and his two wives

In our African culture, divorce is a taboo. A man isn't allowed to divorce a woman unless she has committed infidelity, only that is unforgivable

As for a man wanting to divorce a woman because she's no longer young,…",0,en
"The deluxe tracks from “GUTS (spilled)” on this week’s Billboard Hot 100:

#14 “obsessed”
#58 “so american”
#75 “stranger”
#90 “scared of my guitar”
#99 “girl i’ve always been”",1,en
Janet Jackson Returns to Japan for Triumphant Together Again Tour Chronicling Legendary Career,1,en
"🔸Bitcoin has closed over $60,000 for 33 days in a row.

Consolidation then... 🚀",1,en
Ohhhhh I gots to have these😍😍😍💕,2,en
"We wear our solar glasses in space. 😎While millions of people on Earth watch the total solar #eclipse on April 8, astronauts aboard the space station will watch from 250 miles above. They’ll have three opportunities to view the ground shadow as they orbit Earth!…",2,en
#X will soon let you save the trends from the Explore tab!,1,en
Very cool,2,en
Country Garden: China property giant suspends shares in Hong Kong,1,en
"JUST IN: 🇺🇸 US government sends over 30,170 #Bitcoin worth $2 billion to Coinbase using Silk Road hack funds, Arkham data shows 👀",1,en
"Struggling to level with VIPs? Now’s your chance to trade like a VIP9 on USDC-Margined contracts!

Enjoy ZERO maker fee and only 0.017% taker fee for all users！

Read more ➡️ https://binance.com/en/support/announcement/binance-introduces-limited-time-trading-fee-discount-for-usdc-margined-perpetual-contracts-2024-04-03-fc7732cf48cd49cf95e53aa479ed4deb…",2,en
.#PASSWORD ON NOW!!!! #NBC and #PEACOCK,1,en
Bet on the Future. #Bitcoin,1,en
him refusing to speak on the meaning behind boys & girls ?!?? 😭😭,0,en
Global Citizen Festival to Return to Central Park in 2024,1,en
coneheads!! it’s time for u to find out which found heaven song u are!! ✪,1,en
The Houston Texans are making the moves the Dallas Cowboys should have if they were really ALL IN.,1,en
Person in Texas diagnosed with rare bird flu after contact with cattle,0,en
I’m a freak I need it!,0,en
shut down that hospital PLEASE,0,en
How Michael Rubin — And His Posh Parties — Unite The Sports And Music Worlds,1,en
I know dumb ass Richy Jackson choreo when I see it,0,en
“where’d you go go alley rose” idk conan just text the gc,1,en
"🚨 ATTENTION KATYCATS AND ALL OUR FRIENDS
The industry has always been cruel to Katy Perry! We need to bring this to everyone's attention!! 
Reply to my tweet with#JUSTICEFORKATYPERRY 

Goal: 100 replies!!!",0,en
Endeavor Going Private in Deal With Majority Shareholder Silver Lake,1,en
Chile: Woman steals gun from guard and opens fire,0,en
nicki concert was literally EVERYTHING🥹,2,en
"I’ve been hearing people ask at what point in a potential downfall should they leave the US. Now I hear the same from Canadians and Europeans.

The issues with all of this is where will you go? We all need to fight to keep our countries in order or there will be nowhere to run.",0,en
.@Hozier Notches Second Hot Rock & Alternative Songs No. 1 With ‘Too Sweet’,1,en
Cigar night Q&A tonight at 8PM Universal Tate Time.https://rumble.com/v4mw9tr-cigar-night-q-and-a-with-tristan-tate-ep.11.html…,1,en
Stefano Cherchi: Jockey dies two weeks after fall at Canberra races,0,en
Hunter Schafer Opens Up About Dating Rosalía in 2019: ‘She’s Family No Matter What’,1,en
It’s everybody tonight with they pink on for mother 😢🩷🫶🏽 #GagCityDC @NICKIMINAJ,0,en
"Elon a la Benjamin Franklin “in a Tesla” 

My Midjourney prompt was: Benjamin Franklin driving a Tesla 😆✨",2,en
Why there's a revolution on the way in glass making,1,en
#firebloodchallenge it Taste like Orange Juice 🍊 @alexstaofficial @Cobratate,2,en
Made in America Festival Canceled for Second Consecutive Year,0,en
World Central Kitchen founder José Andrés criticises Israel over aid workers' deaths,0,en
Hot 100 First-Timers: Allison Russell Debuts With Hozier Team-Up ‘Wildflower and Barley’,1,en
The list goes on and on and on,1,en
"Ye and Ty Dolla $ign's ""Vultures"" listening parties won't go ahead.",0,en
Coinbase is now officially integrating the #Bitcoin Lightning Network 👏Coinbase has over 100 MILLION users 🚀,2,en
"BIG BREAKING 🚨ETHEREUM ETF APPROVAL 🚨SEC asks for public comment for Grayscale, Bitwise and Fidelity spot Ethereum ETFs",1,en
GloRilla Recalls the ‘Beautiful Feeling’ of Visiting the White House: ‘I Still Haven’t Accepted the Reality of It’,1,en
"Following their first playoff appearance in decades, the Marlins tried to demote GM Kim Ng. She turned that down and left the organization. The Marlins are behind early today and if they lose to the Angels, they'll be 0-7 to start this season.",0,en
Ukraine war: Deepest Ukraine drone attack into Russian territory injures 12,0,en
"Harleys in Hawaii - 500M

————-BARREIRA————-

Bloody Mary  - 443M",1,en
Damn nigga you bought this from God????,0,en
Lizzo Clarifies What She Meant With ‘I Quit’ Statement: ‘I’m Going to Keep Being Me’,1,en
Andrew Tate's COLDEST moment in fighting,2,en
"John Summit, Dom Dolla, Kaskade & More to Headline Desert Nights’ Coachella Parties",1,en
"💵 💵 💵 💵 💵 💵 💵 💵 💵 💵  1,000,000,000 #USDT (1,000,027,499 USD) minted at Tether Treasuryhttps://whale-alert.io/transaction/tron/6f142b21fe6a11f413e68c71cb91c6e448f407408547b0f49d3da3e0cb6a3fad…",1,en
.@jonmcreynolds & Marvin Winans’ ‘Able’ Tops Gospel Airplay Chart,1,en
"Seeing sht like this back to back at EVERY show puts into perspective who it is NICKI MINAJ is in REAL LIFE, so going back & forth with føøls on here trying to prove a point is so useless. Nothing “negative” on here should even phase y'all, let them live in their delusion.",0,en
Beyoncé Thanks Jack White for Inspiring ‘Cowboy Carter’,2,en
Google to delete records from Incognito tracking,1,en
We are not slowing down! 🚄 ⚽️⚽️⚽️,2,en
Lady Gaga’s Harley Quinn Speaks!: Listen to the First Taste of Singer’s Character in ‘Joker: Folie à Deux’,1,en
UK surfer Laura Crane in class of her own at big wave spot Nazare,1,en
"Julia Garner is playing a female Silver Surfer in #FantasticFour 

(via @Deadline)",1,en
"BIG BREAKING 🚨COINBASE GOES BIG ON #BITCOIN 

 Coinbase partners with Lightspark to integrate Bitcoin Lightning Network.",2,en
"I hate pending transactions. Please, just take the money.",0,en
100/10 ! Amazing show @NICKIMINAJ 🥰🥰🥰🥰🥰🥰🥰 #GagCityBaltimore,2,en
"Top 8 Most Profitable Crypto Narratives in 2024

1. Memecoin - 1313%
2. RWA - 286%
3. AI - 222%
4. DeFi - 99%
5. DePIN - 81%
6. Layer 1 - 70%
7. Gaming - 64%
8. Layer 2 - 39%",1,en
if i was famous i’d make a fanpage for myself and post “rares” that literally no one has ever seen because I TOOK THEM and everyone would be like “how does this person always have rare pics😢” bc i am her duh,0,en
I can’t say nothing every body gets offended over every little thing,0,en
I wish Gaga would stop bringing her hair & makeup friends with her for her movie projects too so we could see…how do I put this nicely…,1,en
"FAKE NATIONALIST ZIONIST AGENTS 

Not a word from these fake nationalists about the 3 former BRITISH MILITARY members killed by Israel. 

Israel First",0,en
"Every dip is just the universe's way of asking: 

""Do you have the courage to double down on your dreams?""",1,en
raymonte is not wrong.,1,en
I am currently 18h 53m 16s of light travel time from Earth (2024:095:000000:1L),1,en
no offense bardi its cus i have a dominican parent & a black one 😭🖤,1,en
What is your most anticipated performance of 2024?,1,en
Race vs Ethnicity vs Nationality be beating my community ass.,0,en
It's cute when kids say what they want to be when they grow up. You're gonna write emails on the computer buddy,2,en
#KatyPerry's “Harleys In Hawaii” has surpassed 500 MILLION streams on Spotify.  It’s her 15th song to reach this Milestone! 💪🏍️ ☀️💥5⃣0⃣0⃣Ⓜ️✖️1⃣5⃣🎶🔥👑🩷,2,en
Fun Fact: All of Lady Gaga’s lead roles are for films rated R,2,en
Pouria Zeraati: Three accused of TV presenter attack have left UK,0,en
Starship will be on Mars within the decade and I can’t wait to help build the booster that’ll send it on its way😤🔥🚀,2,en
Katy Perry’s lead single between April and May. The music video is ready. Xx,2,en
"It's a stormy day at the spaceport!

What's the weather like for you? ⤵️",1,en
It’s crazy how it all happened when she was 33… just like Jesus,1,en
the fact that it never charted on the hot 100 is insane,0,en
Look how cute we are 😍🥹🩷@caliboycomplex @socialenemy_ @SleezeMaraj,2,en
Doja Cat Says She Doesn’t ‘Care’ About Music Leaks: ‘There’s Nothing I Can Do About It’,0,en
Will you buy a Tesla with Dogecoin?,1,en
"Names of three British aid workers killed in Israeli strike in Gaza are John Chapman, James Henderson and James Kirby, BBC establishes https://bbc.in/3xsDKIm",0,en
Are we on the timeline or on the DMs? We were talking in DMs and now you’re back on the timeline. You can’t gaslight me and I won’t let you confuse people by bringing up things that are irrelevant to the initial discussion. You say people never called me ghetto. I responded…,0,en
All of the Barbies are bad It Girls and we ain’t playing tag ! 💕🤩 #GagCityBaltimore,0,en
"BIG BREAKING 🚨#Bitcoin to reach $150K by the end of this year, per Morgan Creek Capital Management CEO Mark Yusko",1,en
How FOX Sports’ Resident Deadheads Brought Jam Bands To Big Games,1,en
𝕏 is winning 🫡,2,en
"CRYING. OVER. THIS. 🥹💜 
we love you @ChappellRoan",2,en
Katchatheevu: Tiny Sri Lankan island sparks political row in India,1,en
"when gaga did house of gucci she got dragged for having an accent, for joker she's getting dragging for not having one",0,en
Gaga Daily would’ve loved today 🥺💔,2,en
“IT’S TIME FOR KATYCATS TO MOVE” -@katyperry #justiceforkatyperry,1,en
It’s been 4 years and you’re STILL a Brokie,0,en
I reiterate my firm call for an immediate ceasefire in the Gaza Strip. I express my deep sorrow for the volunteers who were killed while distributing humanitarian aid in Gaza. I pray for them and their families.,0,en
Katy Perry’s Teenage Dream album cover is actually a painting,1,en
coneheads!! join cone for a live q&a on @TalkShopLive now!! ⭐️ 🖤https://talkshop.live/watch/SLXv-rgKp6…,1,en
New Shakira collaboration on the way. Xx,1,en
"JUST IN: Apple exploring the creation of home robots as ""next big thing.""",2,en
what if I said house of gucci has the best poster…,2,en
We need Katy’s documentary about what happened from 2017-2018,1,en
"New look at ‘MOANA 2’, set 3 years after the first movie.

In theaters on November 27.",1,en
Taylor Swift Competing With Travis Kelce for a 2024 Webby Award: Full Nominations Announced,1,en
"Two margaritas deep, I heard a song playing called you can go your own way, and I was like wow they are really singing their ass off. Looked it up it’s two band members breaking up I am in TEARS! YOU CAN GO YOUR OWN WAY 😭😭 watched the live performance. he can’t even look at her",2,en
.@shakira’s ‘Las Mujeres Ya No Lloran’ hit number one on Top Latin Albums and Latin Pop Albums 💎,2,en
