Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
President Biden,@POTUS,2024-04-03T22:45:03.000Z,True,"$35 a month insulin for seniors.
$35 inhalers for asthma.
$2,000 a year cap on prescription drugs for seniors starting next year.

With Senator Sanders' help, we’re showing how health care should be a right – not a privilege – in America.",2.1K,2.9K,11K,795K,[],[],[],https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1775655782580683207,tweet_id:1775655782580683207
Binance,@binance,2024-04-02T14:01:13.000Z,True,Cryptoooo,1.9K,884,5.6K,526K,[],[],[],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775161566729507045,tweet_id:1775161566729507045
JAKE,@JakeGagain,2024-04-03T08:36:00.000Z,True,MAJOR PUMP INCOMING.,1K,166,1.2K,133K,[],[],[],https://pbs.twimg.com/profile_images/1691859249176158208/tZZMxPtO_normal.jpg,https://twitter.com/JakeGagain/status/1775442112047460584,tweet_id:1775442112047460584
Lady Gaga,@ladygaga,2024-04-02T16:00:43.000Z,True,The world is a stage. Joker: Folie à Deux trailer coming April 9. 🃏,2.8K,34K,128K,7.4M,[],[],['\\U0001f0cf'],https://pbs.twimg.com/profile_images/1548557958564364289/6ewE00_O_normal.jpg,https://twitter.com/ladygaga/status/1775191640489222274,tweet_id:1775191640489222274
BBC News (World),@BBCWorld,2024-04-04T02:44:38.000Z,True,Video shows abducted US girl fatally shot by police,6,1,2,817,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775716077059682452,tweet_id:1775716077059682452
Nicki Minaj,@NICKIMINAJ,2024-04-04T02:29:32.000Z,True,https://share.stationhead.com/kgXBpFtPyx8MAY THE BEST BRAVEST BADDEST BARBZ WIN,148,393,933,33K,[],[],[],https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://twitter.com/NICKIMINAJ/status/1775712275954860503,tweet_id:1775712275954860503
Ash Crypto,@Ashcryptoreal,2024-04-03T17:34:44.000Z,True,"Bitcoin is going to $100,000

ETH is going to $10,000

Altcoins will pump 10x 

Halving in 15 days. 

You are not bullish enough.",440,350,2.4K,116K,[],[],[],https://pbs.twimg.com/profile_images/1699992200392712192/vA21X1rr_normal.jpg,https://twitter.com/Ashcryptoreal/status/1775577689862140214,tweet_id:1775577689862140214
ًnash found heaven ✪,@liquorcupss,2024-04-02T19:09:54.000Z,False,what conan lyric feels like this,114,212,865,49K,[],[],[],https://pbs.twimg.com/profile_images/1774314329665343488/DYL4Lh05_normal.jpg,https://twitter.com/liquorcupss/status/1775239250537058731,tweet_id:1775239250537058731
Crypto Rover,@rovercrc,2024-04-03T16:53:00.000Z,True,"The more Tether prints, the higher #Bitcoin goes.",140,100,812,38K,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1644208356523909122/M6D7PfWS_normal.jpg,https://twitter.com/rovercrc/status/1775567185911460001,tweet_id:1775567185911460001
Play That Pop,@PlayThatPop,2024-04-03T11:04:53.000Z,True,Which of these artists is the biggest hit-maker ?,437,144,1K,106K,[],[],[],https://pbs.twimg.com/profile_images/1710665070441545728/Yvs4qj4K_normal.jpg,https://twitter.com/PlayThatPop/status/1775479581236990224,tweet_id:1775479581236990224
Bitcoin,@Bitcoin,2024-04-02T12:43:08.000Z,True,"#Bitcoin: Navigating the High Seas of Finance, Steering the Ship of Economic Evolution. ⛵💰🌊",351,843,2.5K,133K,['#Bitcoin'],[],"['\\u26f5', '\\U0001f4b0', '\\U0001f30a']",https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775141916322988360,tweet_id:1775141916322988360
DUA LIPA,@DUALIPA,2024-04-02T17:16:28.000Z,True,album moments🌀I hear you… feeling optimistic about this week https://dualipa.lnk.to/radicaloptimism,390,2.7K,26K,606K,[],[],['\\U0001f300'],https://pbs.twimg.com/profile_images/1768006155270238208/TeMY2Ik6_normal.jpg,https://twitter.com/DUALIPA/status/1775210703495872600,tweet_id:1775210703495872600
NASA,@NASA,2024-04-02T22:50:01.000Z,True,"Not in the path of totality for the total solar #eclipse? On April 8, we'll bring totality to you by broadcasting from several locations along its trajectory, including @NASAGlenn—our only center in the eclipse’s path.

How to watch: http://go.nasa.gov/3vAvTbo",161,898,3.7K,745K,['#eclipse'],['@NASAGlenn'],[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://twitter.com/NASA/status/1775294645775249829,tweet_id:1775294645775249829
Binance,@binance,2024-04-02T06:00:04.000Z,True,"It's a tough gig being the Binance intern.

(gm)",696,347,1.8K,241K,[],[],[],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775040482881528257,tweet_id:1775040482881528257
Joe Biden,@JoeBiden,2024-04-02T13:55:01.000Z,True,"Donald Trump doesn’t trust women.

I do.",13K,9.3K,32K,2.4M,[],[],[],https://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg,https://twitter.com/JoeBiden/status/1775160009292202372,tweet_id:1775160009292202372
Andrew Tate,@Cobratate,2024-04-03T10:34:53.000Z,True,"There is no bigger red flag in an adult than lack of children. 

If you’re 46 and not yet bored of weed and alcohol - you’re immature and soulless. 

How can you be trusted to vote?

You have a warped world view with zero vested interest in the future. 

The poorest people alive…",2.9K,2.9K,27K,2.6M,[],[],[],https://pbs.twimg.com/profile_images/1728837013023895552/nCHrdjlh_normal.jpg,https://twitter.com/Cobratate/status/1775472031733018699,tweet_id:1775472031733018699
Altcoin Daily,@AltcoinDailyio,2024-04-04T00:10:13.000Z,True,1 whole bitcoin hodlers are becoming RARE,143,40,461,40K,[],[],[],https://pbs.twimg.com/profile_images/1477451940611035136/hQByG8MW_normal.png,https://twitter.com/AltcoinDailyio/status/1775677215369461951,tweet_id:1775677215369461951
DogeDesigner,@cb_doge,2024-04-02T18:55:22.000Z,True,Dogecoin as Tipping Option? 👀,215,158,915,79K,[],[],['\\U0001f440'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://twitter.com/cb_doge/status/1775235595607880167,tweet_id:1775235595607880167
Ash Crypto,@Ashcryptoreal,2024-04-03T20:26:59.000Z,True,"My targets for next 12-16 months:$BTC: $100k-$250k$ETH: $10k-$15k$BNB: $900-$1,400$SOL: $450-$650$XRP: $3-$5$DOGE: $1$DOT: $100-$120$LINK: $250-$500👇🏼",915,352,2.2K,235K,[],[],['\\U0001f447\\U0001f3fc'],https://pbs.twimg.com/profile_images/1699992200392712192/vA21X1rr_normal.jpg,https://twitter.com/Ashcryptoreal/status/1775621039604514906,tweet_id:1775621039604514906
Bitcoin,@Bitcoin,2024-04-03T15:14:29.000Z,True,"€61,357.48",151,165,637,104K,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775542392570941874,tweet_id:1775542392570941874
Binance,@binance,2024-04-03T16:00:00.000Z,True,"Introducing a new Simple Earn Flexible Products promotion!

Subscribe to either SUI or USDT Simple Earn Flexible Products to grab your share of 20,000 SUI while also earning bonus APR.

Get started today ⤵️",349,172,739,128K,[],[],['\\u2935\\ufe0f'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775553848947409014,tweet_id:1775553848947409014
Bitcoin,@Bitcoin,2024-04-02T03:19:32.000Z,True,"$69,416.50#Bitcoin  #BTC  $BTC $USD",223,174,1.6K,177K,"['#Bitcoin', '#BTC']",[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775000081843810664,tweet_id:1775000081843810664
President Biden,@POTUS,2024-04-03T21:05:00.000Z,True,"Through laws I wrote and signed, I enacted tax credits that save an average of $800 per person per year, reducing health care premiums for millions of families.

Those credits expire next year.

Congress, make that $800 expanded affordable health care tax credit permanent.",2K,1.2K,4.7K,442K,[],[],[],https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1775630605562081400,tweet_id:1775630605562081400
Joe Biden,@JoeBiden,2024-04-02T21:01:44.000Z,True,"You already made your statement, Donald.",6.6K,14K,48K,3M,[],[],[],https://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg,https://twitter.com/JoeBiden/status/1775267393969008713,tweet_id:1775267393969008713
Binance,@binance,2024-04-02T18:00:51.000Z,True,Tag a light mode user 👇,560,192,1.2K,202K,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775221872713445825,tweet_id:1775221872713445825
Altcoin Daily,@AltcoinDailyio,2024-04-03T07:45:53.000Z,True,Coinbase & BlackRock will pump crypto higher!,602,508,2.5K,178K,[],[],[],https://pbs.twimg.com/profile_images/1477451940611035136/hQByG8MW_normal.png,https://twitter.com/AltcoinDailyio/status/1775429499590721691,tweet_id:1775429499590721691
Bitcoin,@Bitcoin,2024-04-03T21:41:26.000Z,True,"£52,068.63",124,78,464,87K,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775639773547307337,tweet_id:1775639773547307337
DOJA CAT,@DojaCat,2024-04-03T16:57:46.000Z,True,"Pitbull, Chingy, and Baby Bash",391,603,6.2K,630K,[],[],[],https://pbs.twimg.com/profile_images/1669565696131620866/nZBy8q1h_normal.jpg,https://twitter.com/DojaCat/status/1775568385201578165,tweet_id:1775568385201578165
Ash Crypto,@Ashcryptoreal,2024-04-03T03:35:21.000Z,True,ETH WILL EXPLODE SOON 🔥,2K,514,3.2K,289K,[],[],['\\U0001f525'],https://pbs.twimg.com/profile_images/1699992200392712192/vA21X1rr_normal.jpg,https://twitter.com/Ashcryptoreal/status/1775366451555447184,tweet_id:1775366451555447184
Nicki Minaj,@NICKIMINAJ,2024-04-03T08:57:14.000Z,True,My station head seems to not be working guys. What a shocker,455,550,5.4K,263K,[],[],[],https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://twitter.com/NICKIMINAJ/status/1775447458287353883,tweet_id:1775447458287353883
Cardi B,@iamcardib,2024-04-02T19:36:31.000Z,True,If I say I’m 25 then I’m 25 the fuk,1.9K,27K,280K,11M,[],[],[],https://pbs.twimg.com/profile_images/1767309806073704448/biHbGkLx_normal.jpg,https://twitter.com/iamcardib/status/1775245949004087587,tweet_id:1775245949004087587
Kim Kardashian,@KimKardashian,2024-04-03T23:25:24.000Z,True,Psalm 📷 by Saint,116,73,1.7K,95K,[],[],['\\U0001f4f7'],https://pbs.twimg.com/profile_images/1589659852271280128/KhrL02UB_normal.jpg,https://twitter.com/KimKardashian/status/1775665935799771315,tweet_id:1775665935799771315
Crypto Rover,@rovercrc,2024-04-03T19:16:00.000Z,True,"The next #Bitcoin halving is just 2 weeks out.

And historically, the most gains are always realized after the halving.

Are you prepared?",146,135,768,43K,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1644208356523909122/M6D7PfWS_normal.jpg,https://twitter.com/rovercrc/status/1775603173098709214,tweet_id:1775603173098709214
BBC News (World),@BBCWorld,2024-04-04T02:18:02.000Z,True,Moment Taiwan maternity staff rush to keep babies safe during earthquake,31,24,159,48K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775709380425490570,tweet_id:1775709380425490570
Binance,@binance,2024-04-03T10:00:01.000Z,True,"13,900 eggs.

$200,000 in rewards.

1 #Bitcoin.

Get started with the #Binance egg drop 👇",1.7K,271,1.4K,185K,"['#Bitcoin', '#Binance']",[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775463254522773881,tweet_id:1775463254522773881
NASA,@NASA,2024-04-03T20:08:23.000Z,True,"Congratulations to @Int_Machines, @LunarOutpostInc, and @Astrolab_Space for being selected to move forward in developing the #Artemis lunar terrain vehicle!

This Moon rover will allow future astronauts to travel far on the lunar surface: https://go.nasa.gov/440SeM9",140,618,2.8K,464K,['#Artemis'],"['@Int_Machines', '@LunarOutpostInc', '@Astrolab_Space']",[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://twitter.com/NASA/status/1775616356303454296,tweet_id:1775616356303454296
President Biden,@POTUS,2024-04-03T00:15:02.000Z,True,"I am outraged and heartbroken by the deaths of seven humanitarian workers from World Central Kitchen, including one American, in Gaza yesterday.
 
Incidents like yesterday’s simply should not happen.

Here is my full statement.",17K,11K,28K,13M,[],[],[],https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1775316042367094888,tweet_id:1775316042367094888
Bitcoin,@Bitcoin,2024-04-02T06:20:10.000Z,True,#Bitcoin is a Symbol of Digital Revolution and Financial Freedom. 💡🌐💸,355,731,2.3K,142K,['#Bitcoin'],[],"['\\U0001f4a1', '\\U0001f310', '\\U0001f4b8']",https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775045539974783091,tweet_id:1775045539974783091
Nicki Minaj,@NICKIMINAJ,2024-04-02T04:49:17.000Z,True,Miss SHANEL DOES what must be done!!!!!,243,1.5K,16K,560K,[],[],[],https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://twitter.com/NICKIMINAJ/status/1775022669530099804,tweet_id:1775022669530099804
Binance,@binance,2024-04-03T22:00:05.000Z,True,"Is whale watching on your bucket list?

If so, you'll be glad to know that you don't have to travel to do it.

Well, not for crypto whale watching anyway.",223,90,432,101K,[],[],[],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775644467413811579,tweet_id:1775644467413811579
Altcoin Daily,@AltcoinDailyio,2024-04-03T18:36:34.000Z,True,"I want HONEST criticism on this AI portfolio:

25% $BTC15% $TAO15% $RNDR10% $GRT10% @limewire5% $AKT5% $AIT5% $PAAL5% ",725,99,745,254K,[],['@limewire'],[],https://pbs.twimg.com/profile_images/1477451940611035136/hQByG8MW_normal.png,https://twitter.com/AltcoinDailyio/status/1775593250755404010,tweet_id:1775593250755404010
Cardi B,@iamcardib,2024-04-03T20:32:05.000Z,True,💙🤍❤️,958,4.8K,50K,2.7M,[],[],"['\\U0001f499', '\\U0001f90d', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1767309806073704448/biHbGkLx_normal.jpg,https://twitter.com/iamcardib/status/1775622319601238263,tweet_id:1775622319601238263
Olivia Rodrigo Argentina,@OliviaRodrigoAR,2024-04-02T16:26:49.000Z,False,"ARE YOU STILL WITH ME, 🇦🇷? ⭐️⭐️⭐️ #GUTSWorldTour",84,622,3.7K,145K,['#GUTSWorldTour'],[],"['\\U0001f1e6\\U0001f1f7', '\\u2b50\\ufe0f', '\\u2b50\\ufe0f', '\\u2b50\\ufe0f']",https://pbs.twimg.com/profile_images/1761035766476550144/IxNJA7GW_normal.jpg,https://twitter.com/OliviaRodrigoAR/status/1775198208760688780,tweet_id:1775198208760688780
Olivia Rodrigo Daily,@DailyRodrigo,2024-04-02T17:35:21.000Z,True,COMO MI AMOR,10,52,298,33K,[],[],[],https://pbs.twimg.com/profile_images/1760670996053516288/9g97hZu2_normal.jpg,https://twitter.com/DailyRodrigo/status/1775215458729283673,tweet_id:1775215458729283673
Bitcoin,@Bitcoin,2024-04-02T15:14:33.000Z,True,"£52,542.55",177,147,652,139K,[],[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775180025542644098,tweet_id:1775180025542644098
President Biden,@POTUS,2024-04-03T12:00:00.000Z,True,"Kamala and I continue to call on Congress to restore the protections of Roe in every state.

The majority of Americans support a woman's right to choose – including in Florida where voters will have the opportunity to support a reproductive freedom ballot initiative this fall.",2.3K,1.8K,7K,606K,[],[],[],https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_normal.jpg,https://twitter.com/POTUS/status/1775493452207095888,tweet_id:1775493452207095888
Play That Pop,@PlayThatPop,2024-04-03T22:29:28.000Z,True,The category is : albums that deserved way more success,47,64,447,11K,[],[],[],https://pbs.twimg.com/profile_images/1710665070441545728/Yvs4qj4K_normal.jpg,https://twitter.com/PlayThatPop/status/1775651861158117606,tweet_id:1775651861158117606
BBC News (World),@BBCWorld,2024-04-03T12:48:27.000Z,True,White House wants Moon to have its own time zone,105,125,202,145K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775505642217713667,tweet_id:1775505642217713667
Binance,@binance,2024-04-03T08:00:02.000Z,True,"Introducing the #BinanceClubhouse!

A global hub for all Binance users to connect, work, and talk all things crypto.

Stay tuned for more info to come 🤝",383,277,1.3K,186K,['#BinanceClubhouse'],[],['\\U0001f91d'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775433060168679639,tweet_id:1775433060168679639
Joe Biden,@JoeBiden,2024-04-02T17:15:08.000Z,True,"Yesterday’s extreme Florida Supreme Court decision puts desperately needed medical care even further out of reach for millions of women in Florida and across the South. 

It’s outrageous—and it was made possible by Trump ending Roe v. Wade.",3.6K,3K,11K,858K,[],[],[],https://pbs.twimg.com/profile_images/1308769664240160770/AfgzWVE7_normal.jpg,https://twitter.com/JoeBiden/status/1775210370098991180,tweet_id:1775210370098991180
Bitcoin,@Bitcoin,2024-04-02T21:41:23.000Z,True,"£51,987.06#Bitcoin  #BTC  $BTC $GBP",170,159,891,153K,"['#Bitcoin', '#BTC']",[],[],https://pbs.twimg.com/profile_images/421692600446619648/dWAbC2wg_normal.jpeg,https://twitter.com/Bitcoin/status/1775277373510045714,tweet_id:1775277373510045714
NASA,@NASA,2024-04-02T19:06:51.000Z,True,"Ready to rock with @ThirdRockRadio for the April 8 #eclipse? Submit your favorite solar-themed songs to be added to a Sun, Moon and ""Eyes"" playlist: http://thirdrockradio.net/solar-songs/",171,472,3.5K,730K,['#eclipse'],['@ThirdRockRadio'],[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://twitter.com/NASA/status/1775238483486835003,tweet_id:1775238483486835003
Nicki Minaj,@NICKIMINAJ,2024-04-02T04:47:25.000Z,True,"Baby steps, sir 😩😅",525,1.7K,19K,764K,[],[],"['\\U0001f629', '\\U0001f605']",https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_normal.jpg,https://twitter.com/NICKIMINAJ/status/1775022200791179346,tweet_id:1775022200791179346
billboard,@billboard,2024-04-03T01:01:00.000Z,True,.@findingfletcher’s ‘In Search of the Antidote’ Debuts at No. 3 on Top Album Sales Chart,23,135,754,57K,[],['@findingfletcher'],[],https://pbs.twimg.com/profile_images/1696577202496966657/FhNkxqHF_normal.jpg,https://twitter.com/billboard/status/1775327608739119239,tweet_id:1775327608739119239
Jimmy Fallon,@jimmyfallon,2024-04-03T22:00:01.000Z,True,Only 3 more sleeps till #WrestleMania 40. Talking to @TheRock and @WWERomanReigns on the show tonight. #FinalBoss  #TribalChief,56,197,1.3K,248K,"['#WrestleMania', '#FinalBoss', '#TribalChief']","['@TheRock', '@WWERomanReigns']",[],https://pbs.twimg.com/profile_images/1655958018729873408/0Ja9zBV0_normal.jpg,https://twitter.com/jimmyfallon/status/1775644450544550287,tweet_id:1775644450544550287
Crypto.com,@cryptocom,2024-04-03T01:00:01.000Z,True,One #crypto that will show a monster God Candle this summer,1.3K,441,2.1K,251K,['#crypto'],[],[],https://pbs.twimg.com/profile_images/1760220939730788352/b1eejJZY_normal.jpg,https://twitter.com/cryptocom/status/1775327361698787738,tweet_id:1775327361698787738
Rihanna,@rihanna,2024-04-02T14:19:18.000Z,True,✍🏿 Signature Script  👉🏿 http://rihanna.lnk.to/savagex,3.2K,14K,165K,13M,[],[],"['\\u270d\\U0001f3ff', '\\U0001f449\\U0001f3ff']",https://pbs.twimg.com/profile_images/1585851311701970945/fC9dfWVm_normal.jpg,https://twitter.com/rihanna/status/1775166121148387550,tweet_id:1775166121148387550
BBC News (World),@BBCWorld,2024-04-02T16:42:28.000Z,True,"Deadly air strike shows system to protect aid workers in crisis, agencies say",603,487,201,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775202149091193160,tweet_id:1775202149091193160
Binance,@binance,2024-04-02T10:47:35.000Z,True,#Binance will list Wormhole $W with Seed Tag Applied.➡️ https://binance.com/en/support/announcement/49b5a226723e407cb7044d749bfda5b2?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…,1.3K,1.4K,5.1K,784K,['#Binance'],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1744289390736613378/alcfxov3_normal.jpg,https://twitter.com/binance/status/1775112840073891866,tweet_id:1775112840073891866
Jimmy Fallon,@jimmyfallon,2024-04-03T17:00:00.000Z,True,Happy 90th birthday @janegoodallinst! And please give my regards to Mr. H. #JaneAt90 #GoodAllDay,58,87,1.2K,199K,"['#JaneAt90', '#GoodAllDay']",['@janegoodallinst'],[],https://pbs.twimg.com/profile_images/1655958018729873408/0Ja9zBV0_normal.jpg,https://twitter.com/jimmyfallon/status/1775568947519074393,tweet_id:1775568947519074393
BBC News (World),@BBCWorld,2024-04-02T19:26:16.000Z,True,Gaza aid convoy strike: What do we know?,76,44,115,135K,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://twitter.com/BBCWorld/status/1775243371767882086,tweet_id:1775243371767882086
Shakira,@shakira,2024-04-03T15:39:17.000Z,True,Thank you NY for a night to remember!,134,555,4.1K,326K,[],[],[],https://pbs.twimg.com/profile_images/1758141684393615360/7JKKFdKH_normal.jpg,https://twitter.com/shakira/status/1775548634139943320,tweet_id:1775548634139943320
