Content,label
"#Binance respectfully requests that Tigran Gambaryan, who has no decision-making power in the company, is not held responsible while current discussions are ongoing between Binance and Nigerian government officials.#BringTigranHomeRead more 👇",1
"After 204 days, 3,264 orbits, and dozens of @ISS_Research experiments in space, @lunarloral is heading home.

Undocking and return coverage (on NASA+ and other platforms) begins at 8pm ET, Friday, April 5 (0000 UTC April 6): https://go.nasa.gov/3xwI9di",1
"Don't buy #Bitcoin for your first name.

Buy #Bitcoin for your last name.",1
"Billie Eilish, Pearl Jam, Nicki Minaj Among 200 Artists Calling for Responsible AI Music Practices",1
School shooting brings up tough questions for Finland,0
"Instead of seniors with diabetes paying as much as $400 a month for their insulin they so badly need, they now only have to pay $35 a month. Period.
 
I want to extend those savings to everyone who needs lifesaving insulin, whether you’re a senior or not.",0
🫶🏽🎀,1
"Trade responsibly.

Employing risk management strategies is an important step to reducing your portfolio's risk.

So we've listed out 5 strategies, which you can find right here 👇",2
"#Binance has expanded Portfolio Margin to non-VIP users! 

Optimise your portfolio with enhanced capital efficiency, risk management, and trading strategies made more accessible.

Learn more 👇",2
"💥BREAKING: The Spot #Bitcoin ETF had positive inflow of: +$40,300,000 yesterday!",2
"#Binance Charity partners with the Children of Heroes Foundation!

This collaboration will launch “I Am da Vinci”, a 12-day therapeutic camp, to support children who have lost their parents in the war.

Read more ⤵️",1
"Florida’s bans – and laws like them in states across America – are putting the health and lives of millions of women at risk.

They take away women’s freedom to make their own health care decisions and threaten physicians for providing the care they were trained to provide.",0
Don't Panic 🫡,1
Never 🪄,1
"We've officially hit 1M posts on #Binance Square!

Thank you for sharing content on your feeds, and spreading crypto knowledge worldwide 🤝Keep building ➡️ http://binance.com/feed?ref=AZTKZ9XS&utm_source=BinanceTwitter&utm_medium=GlobalSocial&utm_campaign=GlobalSocial…",2
"That’s not what you said. You said nobody called me ghetto and now you moving the goal post… You know why I’m at where I’m at right now? Because I took all those no’s and recognized what I had to CHANGE. I had to change the way I talk, the way I act and the way I respond and how…",1
?,1
"Honestly a great product!

Feel more energized and stronger ever since I’ve taken it!",2
"Lizzo clarifies she is not quitting music industry, just 'negative energy'",1
Olivia Rodrigo Kisses Chappell Roan During Guts World Tour’s Boston Stop,1
"Yesterday, Florida’s Supreme Court upheld a state abortion ban, likely triggering the Governor's more extreme law eliminating access before many even know they're pregnant.

Outrageous.@VP and I remain committed to protecting reproductive freedom in Florida and across the U.S.",0
Ukraine gives award to foreign vigilantes for hacks on Russia,0
I got 45 mins to give away my own personal tkts to #SOLDOUTMINAJ shows guys. But I’m doing it on station head so nanabooboo Barbz don’t start. I miss you 🤭,1
"""The Flies,"" our newest class of @NASA_Astronauts, officially graduated basic training last month—and what's a graduation without a few superlatives?

If you want to join the next astronaut class, our applications are still open! Get yours in by April 16: https://go.nasa.gov/astro2024",2
"JUST IN: Coinbase CEO says its #Bitcoin Lightning Network integration ""should be launching soon"" ⚡️ 👀",2
Don’t pinch me please,0
Rashee Rice: Super Bowl champion admits role in Texas hit-and-run,1
"This week, America lost a hero.

When Lou Conter passed away at the age of 102, America said farewell to the last known survivor of the U.S.S. Arizona, which was stationed on Battleship Row at Pearl Harbor on December 7, 1941.

Today, our hearts are with those who knew him and…",1
I think there might be some confusion on what was said. I asked why he feels so comfortable calling me Mexican? I have no Mexican parents. My mom is Trini.. she came out of a whole black woman. My father is Dominican…I’m Dominican just like you. I also used other Dominicans as…,1
"All I wanted…

to give my fans an album & tour that touched them in every way & reminded them of why & how we fell in love in the
 1st place. To give them the tour that they never knew they NEEDED- prove to them how much I value THEM & how much I value the ARTS 🩷",2
Beyoncé & Jennifer Hudson Host Mini ‘Dreamgirls’ Reunion at 2024 iHeartRadio Music Awards,1
Why this amateur scientist measured snowfall for 50 years,0
"Happy Tipping Tuesday Shibes!

Tip in Dogecoin 🐕🐶💸",2
Doge is the og tipping currency of the Internet,1
"🚨 BREAKING 🚨 🇺🇸 PROSHARES HAVE LAUNCHED A 
LEVERAGED 2X ""ULTRA #BITCOIN  
ETF"" TODAY. 

BULLISH 🔥",1
"April is a BIG month for sky gazing 🤩Big planets: Jupiter will be visible all month; Mars and Saturn will rise together on April 10 & 11
Big eclipse: On April 8, catch the last total solar eclipse in the U.S. for 20 years
Big Moon: Catch a full Moon on April 23",2
Irish basketball teams ordered to replay last 0.3 seconds of quarter-final tie,1
Will Beyoncé Finally Win Album of the Year Grammy With ‘Cowboy Carter’?,1
LOVEEEE THAT TITLE. LETS GO BRAVO. CALL ME 😛,2
"Worst migraines ever for like 3 weeks now. 💀Why won’t these things go away? 

I have tried everything. What is your secret?",0
God.,1
Tennessee passes 'chemtrail' bill banning airborne chemicals,1
Awwww 😩🩷,0
Here’s my advice to you Raymonte… IT TAKES TIME!!! Right now I get brand deals for over $5 million for a campaign… I got social media famous in 2014…my first brand deal from Fashion Nova was in 2016 and $200 a post. You could reach any height no matter how ghetto or where you…,2
something is cooking at @MyDogeOfficial 👀,1
👀,1
Mysterious streak of light seen across southern California sky,1
Here Are the Performers and Presenters for 2024 CMT Music Awards,1
"Botswana offers to send 20,000 elephants to Germany",1
Two letters: DC >>>> #GagCityDC,1
French couple who kept 159 cats banned from keeping pets,0
"🚨 BREAKING 🚨1,000,000,000 USDT JUST GOT 
MINTED AT TETHER TREASURY

YESTERDAY ALSO $1 BILLION USDT 
WAS MINTED. 

ARE WHALES PREPARING FOR A 
HUGE #BITCOIN PUMP ?",1
Rebel Wilson book release put back in UK and Australia,1
"𝕏 > Instagram, TikTok, Facebook",1
World Central Kitchen founder José Andrés says Israel targeted staff in Gaza 'car by car',0
Who were the seven aid workers killed in Gaza?,0
"Listen, lots of my friends have made tons and tons of money on crypto while I cling to my little bag of silver. I realize that crypto has been more successful in the last several years than what I think would be. And I obviously admit that and people shouldn’t take investment…",2
"Super valid. 

Worth a podcast someday.",2
Taylor Swift Is Officially a Billionaire,2
Will Truth Social post a financial bailout for Trump?,1
Three British aid workers killed in Israeli strike in Gaza named,0
Tesla 'disaster' with fewest deliveries since 2022,0
Best doge meme wins Đ69.420! 🏆Like & Repost this post to participate. 🐕Upload your meme in the comments.💬,2
Judges @MyDogeCTO @MyDogeCEO 🐕,1
Trump sues Truth Social co-founders over alleged mismanagement,0
Ukraine lowers combat call-up age to boost numbers,1
2024 MLB Season: How to Watch Baseball Games Online for Free Without Cable,1
"Congratulations to BUID: 79*****52 on being our first winner of the Tesla Car Lucky Draw in second installment of #FuturesChallenge 🎉 

Don't worry, there are 3 weeks left to get your hands on your very own Tesla! 

Participate now ➡️ https://binance.com/en/futures-activity/futures-challenge…",2
Tuesday already? Watch @LizaKoshy and me play #PASSWORD tonight at 10/9C on @NBC after #WeakestLink!,1
I went to #GagCityDC alone and ended up w the sweetest girl next to me who was also alone & so fun  AND it was her bday 😭😭😭😭🩷🩷🩷 it was just a magical and fun night overall. I’m so overwhelmed and grateful,2
R.I.P. Michael McMartin.,1
"Time to look at this month's market insights!

Our research team analyzed the state of the crypto market and provided insights on Bitcoin ETF inflows, Ethereum's Dencun upgrade, Solana's DEX volumes, and more.

Check it out ⬇️",1
"#X is bringing the tip jar to the web app!

It was an iOS/Android feature for years and now it's finally finding its way to the web version!

Here, you can see a full list of the supported services!",2
Cool Cool,2
Israeli government says it will block Al Jazeera from broadcasting,0
"New Senegal president Bassirou Diomaye Faye and his two wives

In our African culture, divorce is a taboo. A man isn't allowed to divorce a woman unless she has committed infidelity, only that is unforgivable

As for a man wanting to divorce a woman because she's no longer young,…",0
"The deluxe tracks from “GUTS (spilled)” on this week’s Billboard Hot 100:

#14 “obsessed”
#58 “so american”
#75 “stranger”
#90 “scared of my guitar”
#99 “girl i’ve always been”",1
Janet Jackson Returns to Japan for Triumphant Together Again Tour Chronicling Legendary Career,1
"🔸Bitcoin has closed over $60,000 for 33 days in a row.

Consolidation then... 🚀",1
Ohhhhh I gots to have these😍😍😍💕,2
"We wear our solar glasses in space. 😎While millions of people on Earth watch the total solar #eclipse on April 8, astronauts aboard the space station will watch from 250 miles above. They’ll have three opportunities to view the ground shadow as they orbit Earth!…",2
#X will soon let you save the trends from the Explore tab!,1
Very cool,2
Country Garden: China property giant suspends shares in Hong Kong,1
"Reconhecem? O Dreamland Museu, em Gramado, Rio Grande do Sul inaugurou uma estatua de cera de Katy Perry.",1
"JUST IN: 🇺🇸 US government sends over 30,170 #Bitcoin worth $2 billion to Coinbase using Silk Road hack funds, Arkham data shows 👀",1
"Struggling to level with VIPs? Now’s your chance to trade like a VIP9 on USDC-Margined contracts!

Enjoy ZERO maker fee and only 0.017% taker fee for all users！

Read more ➡️ https://binance.com/en/support/announcement/binance-introduces-limited-time-trading-fee-discount-for-usdc-margined-perpetual-contracts-2024-04-03-fc7732cf48cd49cf95e53aa479ed4deb…",2
.#PASSWORD ON NOW!!!! #NBC and #PEACOCK,1
Bet on the Future. #Bitcoin,1
All Elite.,1
him refusing to speak on the meaning behind boys & girls ?!?? 😭😭,0
Novo vídeo de Katy Perry e Jared Leto durante o #iHeartRadioAwards que aconteceu na última segunda-feira.,1
Global Citizen Festival to Return to Central Park in 2024,1
coneheads!! it’s time for u to find out which found heaven song u are!! ✪,1
The Houston Texans are making the moves the Dallas Cowboys should have if they were really ALL IN.,1
Person in Texas diagnosed with rare bird flu after contact with cattle,0
I’m a freak I need it!,0
shut down that hospital PLEASE,0
How Michael Rubin — And His Posh Parties — Unite The Sports And Music Worlds,1
I know dumb ass Richy Jackson choreo when I see it,0
“where’d you go go alley rose” idk conan just text the gc,1
"🚨 ATTENTION KATYCATS AND ALL OUR FRIENDS
The industry has always been cruel to Katy Perry! We need to bring this to everyone's attention!! 
Reply to my tweet with#JUSTICEFORKATYPERRY 

Goal: 100 replies!!!",0
Endeavor Going Private in Deal With Majority Shareholder Silver Lake,1
Chile: Woman steals gun from guard and opens fire,0
nicki concert was literally EVERYTHING🥹,2
"I’ve been hearing people ask at what point in a potential downfall should they leave the US. Now I hear the same from Canadians and Europeans.

The issues with all of this is where will you go? We all need to fight to keep our countries in order or there will be nowhere to run.",0
💯,1
.@Hozier Notches Second Hot Rock & Alternative Songs No. 1 With ‘Too Sweet’,1
Cigar night Q&A tonight at 8PM Universal Tate Time.https://rumble.com/v4mw9tr-cigar-night-q-and-a-with-tristan-tate-ep.11.html…,1
Stefano Cherchi: Jockey dies two weeks after fall at Canberra races,0
Hunter Schafer Opens Up About Dating Rosalía in 2019: ‘She’s Family No Matter What’,1
It’s everybody tonight with they pink on for mother 😢🩷🫶🏽 #GagCityDC @NICKIMINAJ,0
"Elon a la Benjamin Franklin “in a Tesla” 

My Midjourney prompt was: Benjamin Franklin driving a Tesla 😆✨",2
🪄,1
Why there's a revolution on the way in glass making,1
#firebloodchallenge it Taste like Orange Juice 🍊 @alexstaofficial @Cobratate,2
G,1
Made in America Festival Canceled for Second Consecutive Year,0
“it’s us vol. 1” 4/5/24,1
World Central Kitchen founder José Andrés criticises Israel over aid workers' deaths,0
Hot 100 First-Timers: Allison Russell Debuts With Hozier Team-Up ‘Wildflower and Barley’,1
The list goes on and on and on,1
"Ye and Ty Dolla $ign's ""Vultures"" listening parties won't go ahead.",0
Coinbase is now officially integrating the #Bitcoin Lightning Network 👏Coinbase has over 100 MILLION users 🚀,2
Grok-1 vs Grok-1.5,1
"BIG BREAKING 🚨ETHEREUM ETF APPROVAL 🚨SEC asks for public comment for Grayscale, Bitwise and Fidelity spot Ethereum ETFs",1
GloRilla Recalls the ‘Beautiful Feeling’ of Visiting the White House: ‘I Still Haven’t Accepted the Reality of It’,1
"Following their first playoff appearance in decades, the Marlins tried to demote GM Kim Ng. She turned that down and left the organization. The Marlins are behind early today and if they lose to the Angels, they'll be 0-7 to start this season.",0
THE MEANING BEHINF MISS YOU IS SO DEEP FUCK,0
Ukraine war: Deepest Ukraine drone attack into Russian territory injures 12,0
"Harleys in Hawaii - 500M

————-BARREIRA————-

Bloody Mary  - 443M",1
Damn nigga you bought this from God????,0
Lizzo Clarifies What She Meant With ‘I Quit’ Statement: ‘I’m Going to Keep Being Me’,1
Andrew Tate's COLDEST moment in fighting,2
"John Summit, Dom Dolla, Kaskade & More to Headline Desert Nights’ Coachella Parties",1
"💵 💵 💵 💵 💵 💵 💵 💵 💵 💵  1,000,000,000 #USDT (1,000,027,499 USD) minted at Tether Treasuryhttps://whale-alert.io/transaction/tron/6f142b21fe6a11f413e68c71cb91c6e448f407408547b0f49d3da3e0cb6a3fad…",1
.@jonmcreynolds & Marvin Winans’ ‘Able’ Tops Gospel Airplay Chart,1
"Seeing sht like this back to back at EVERY show puts into perspective who it is NICKI MINAJ is in REAL LIFE, so going back & forth with føøls on here trying to prove a point is so useless. Nothing “negative” on here should even phase y'all, let them live in their delusion.",0
Beyoncé Thanks Jack White for Inspiring ‘Cowboy Carter’,2
Google to delete records from Incognito tracking,1
We are not slowing down! 🚄 ⚽️⚽️⚽️,2
we blinked,1
Lady Gaga’s Harley Quinn Speaks!: Listen to the First Taste of Singer’s Character in ‘Joker: Folie à Deux’,1
UK surfer Laura Crane in class of her own at big wave spot Nazare,1
BUT YOU DID A GOOD JOB OF REALLY FUCKIN UP MY DAY!,0
Congrats,2
"Julia Garner is playing a female Silver Surfer in #FantasticFour 

(via @Deadline)",1
"BIG BREAKING 🚨COINBASE GOES BIG ON #BITCOIN 

 Coinbase partners with Lightspark to integrate Bitcoin Lightning Network.",2
"I hate pending transactions. Please, just take the money.",0
Pensando en que ya me aprendí todas las canciones de “Las Mujeres Ya No Lloran” y ahora tendré que esperar mínimo 7 años para que Shakira saque nuevo álbum. 😥,0
100/10 ! Amazing show @NICKIMINAJ 🥰🥰🥰🥰🥰🥰🥰 #GagCityBaltimore,2
"Top 8 Most Profitable Crypto Narratives in 2024

1. Memecoin - 1313%
2. RWA - 286%
3. AI - 222%
4. DeFi - 99%
5. DePIN - 81%
6. Layer 1 - 70%
7. Gaming - 64%
8. Layer 2 - 39%",1
if i was famous i’d make a fanpage for myself and post “rares” that literally no one has ever seen because I TOOK THEM and everyone would be like “how does this person always have rare pics😢” bc i am her duh,0
I can’t say nothing every body gets offended over every little thing,0
I wish Gaga would stop bringing her hair & makeup friends with her for her movie projects too so we could see…how do I put this nicely…,1
"FAKE NATIONALIST ZIONIST AGENTS 

Not a word from these fake nationalists about the 3 former BRITISH MILITARY members killed by Israel. 

Israel First",0
Super valid point.,2
"Every dip is just the universe's way of asking: 

""Do you have the courage to double down on your dreams?""",1
raymonte is not wrong.,1
"Nova estátua de cera de Katy Perry inaugurada no Dreamland Museu, em Gramado, Rio Grande do Sul.",1
I am currently 18h 53m 16s of light travel time from Earth (2024:095:000000:1L),1
"Conan Gray disse no Talk Shop Live que sua música favorita das que ainda não foram lançadas do Found Heaven é “Fainted Love”, mas que sua favorita do álbum todo é “Alley Rose”!",1
no offense bardi its cus i have a dominican parent & a black one 😭🖤,1
What is your most anticipated performance of 2024?,1
Race vs Ethnicity vs Nationality be beating my community ass.,0
It's cute when kids say what they want to be when they grow up. You're gonna write emails on the computer buddy,2
#KatyPerry's “Harleys In Hawaii” has surpassed 500 MILLION streams on Spotify.  It’s her 15th song to reach this Milestone! 💪🏍️ ☀️💥5⃣0⃣0⃣Ⓜ️✖️1⃣5⃣🎶🔥👑🩷,2
Fun Fact: All of Lady Gaga’s lead roles are for films rated R,2
🚨 tenemos nueva colaboración en camino y es ya inminente!!!,1
Pouria Zeraati: Three accused of TV presenter attack have left UK,0
Starship will be on Mars within the decade and I can’t wait to help build the booster that’ll send it on its way😤🔥🚀,2
Katy Perry’s lead single between April and May. The music video is ready. Xx,2
joker 2 soundtrack album under gaga’s label OMGGG,1
"It's a stormy day at the spaceport!

What's the weather like for you? ⤵️",1
It’s crazy how it all happened when she was 33… just like Jesus,1
the fact that it never charted on the hot 100 is insane,0
Look how cute we are 😍🥹🩷@caliboycomplex @socialenemy_ @SleezeMaraj,2
Doja Cat Says She Doesn’t ‘Care’ About Music Leaks: ‘There’s Nothing I Can Do About It’,0
Will you buy a Tesla with Dogecoin?,1
💯,1
"Names of three British aid workers killed in Israeli strike in Gaza are John Chapman, James Henderson and James Kirby, BBC establishes https://bbc.in/3xsDKIm",0
"LIVE NOW:
 
 https://rumble.com/v4mw9tr-cigar-night-q-and-a-with-tristan-tate-ep.11.html…",1
Are we on the timeline or on the DMs? We were talking in DMs and now you’re back on the timeline. You can’t gaslight me and I won’t let you confuse people by bringing up things that are irrelevant to the initial discussion. You say people never called me ghetto. I responded…,0
All of the Barbies are bad It Girls and we ain’t playing tag ! 💕🤩 #GagCityBaltimore,0
"BIG BREAKING 🚨#Bitcoin to reach $150K by the end of this year, per Morgan Creek Capital Management CEO Mark Yusko",1
How FOX Sports’ Resident Deadheads Brought Jam Bands To Big Games,1
“Boys & Girls” foi a música que Conan levou mais tempo a fazer no álbum ‘Found Heaven’.,1
𝕏 is winning 🫡,2
"CRYING. OVER. THIS. 🥹💜 
we love you @ChappellRoan",2
